Dataset,Train_Split,Alpha,Accuracy,TPR,TNR,FPR,FNR,Error 
GroupA,0.75,0.9700000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.9800000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.75,0.9900000000000007,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.01,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.02,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.03,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.04,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.05,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.060000000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.07,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.08,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.09,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.09999999999999999,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.10999999999999999,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.11999999999999998,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.12999999999999998,99.76666666666667,99.5345744680851,100.0,0.0,0.4654255319148936,0.23333333333333336

GroupA,0.25,0.13999999999999999,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.15,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.16,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.17,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.18000000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.19000000000000003,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.20000000000000004,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.21000000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.22000000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.23000000000000007,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.24000000000000007,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.25000000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.26000000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.2700000000000001,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.2800000000000001,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.2900000000000001,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.3000000000000001,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.3100000000000001,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.3200000000000001,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.3300000000000001,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.34000000000000014,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.35000000000000014,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.36000000000000015,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.37000000000000016,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.38000000000000017,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.3900000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.4000000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.4100000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.4200000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.4300000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.4400000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.45000000000000023,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.46000000000000024,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.47000000000000025,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.48000000000000026,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.49000000000000027,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.5000000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.5100000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.5200000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.5300000000000002,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.5400000000000003,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.5500000000000003,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.5600000000000003,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.5700000000000003,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.5800000000000003,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.5900000000000003,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.6000000000000003,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.6100000000000003,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.6200000000000003,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.6300000000000003,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.6400000000000003,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.6500000000000004,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.6600000000000004,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.6700000000000004,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.6800000000000004,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.6900000000000004,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.7000000000000004,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.7100000000000004,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.7200000000000004,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.7300000000000004,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.7400000000000004,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.7500000000000004,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.7600000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.7700000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.7800000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.7900000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.8000000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.8100000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.8200000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.8300000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.8400000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.8500000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.8600000000000005,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.8700000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.8800000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.8900000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.9000000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.9100000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.9200000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.9300000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.9400000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.9500000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.9600000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.9700000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.9800000000000006,100.0,100.0,100.0,0.0,0.0,0.0

GroupA,0.25,0.9900000000000007,100.0,100.0,100.0,0.0,0.0,0.0

GroupB,0.75,0.01,55.50000000000001,13.373253493013973,97.79559118236473,2.2044088176352705,86.62674650698602,44.5

GroupB,0.75,0.02,66.5,36.19631901840491,95.49902152641879,4.500978473581213,63.80368098159509,33.5

GroupB,0.75,0.03,53.800000000000004,7.818930041152264,97.27626459143968,2.7237354085603114,92.18106995884774,46.2

GroupB,0.75,0.04,70.8,52.800000000000004,88.8,11.200000000000001,47.199999999999996,29.2

GroupB,0.75,0.05,73.0,80.84210526315789,65.9047619047619,34.095238095238095,19.157894736842103,27.0

GroupB,0.75,0.060000000000000005,72.39999999999999,63.63636363636363,81.37651821862349,18.62348178137652,36.36363636363637,27.6

GroupB,0.75,0.07,52.2,100.0,0.0,100.0,0.0,47.8

GroupB,0.75,0.08,71.8,61.05263157894737,81.52380952380952,18.476190476190478,38.94736842105263,28.199999999999996

GroupB,0.75,0.09,64.2,34.11764705882353,95.51020408163265,4.489795918367347,65.88235294117646,35.8

GroupB,0.75,0.09999999999999999,53.7,96.5183752417795,7.867494824016563,92.13250517598344,3.481624758220503,46.300000000000004

GroupB,0.75,0.10999999999999999,48.699999999999996,100.0,0.0,100.0,0.0,51.300000000000004

GroupB,0.75,0.11999999999999998,65.7,86.51685393258427,41.84549356223176,58.15450643776824,13.48314606741573,34.300000000000004

GroupB,0.75,0.12999999999999998,61.3,27.20156555772994,96.93251533742331,3.067484662576687,72.79843444227005,38.7

GroupB,0.75,0.13999999999999999,74.3,70.54108216432866,78.0439121756487,21.956087824351297,29.458917835671343,25.7

GroupB,0.75,0.15,65.2,89.61538461538461,38.75,61.25000000000001,10.384615384615385,34.8

GroupB,0.75,0.16,61.0,27.27272727272727,95.54655870445345,4.4534412955465585,72.72727272727273,39.0

GroupB,0.75,0.17,51.0,4.12573673870334,99.59266802443992,0.40733197556008144,95.87426326129666,49.0

GroupB,0.75,0.18000000000000002,62.9,91.05058365758755,33.1275720164609,66.8724279835391,8.949416342412452,37.1

GroupB,0.75,0.19000000000000003,68.89999999999999,90.1010101010101,48.118811881188115,51.881188118811885,9.8989898989899,31.1

GroupB,0.75,0.20000000000000004,61.6,94.49152542372882,32.196969696969695,67.8030303030303,5.508474576271186,38.4

GroupB,0.75,0.21000000000000005,56.10000000000001,16.633663366336634,96.36363636363636,3.6363636363636362,83.36633663366337,43.9

GroupB,0.75,0.22000000000000006,57.49999999999999,6.651884700665188,99.27140255009107,0.7285974499089253,93.34811529933481,42.5

GroupB,0.75,0.23000000000000007,51.5,99.19517102615694,4.3737574552683895,95.62624254473161,0.8048289738430584,48.5

GroupB,0.75,0.24000000000000007,74.6,67.47474747474747,81.58415841584159,18.415841584158414,32.525252525252526,25.4

GroupB,0.75,0.25000000000000006,72.7,57.50487329434698,88.7063655030801,11.293634496919918,42.49512670565302,27.3

GroupB,0.75,0.26000000000000006,49.1,0.0,100.0,0.0,100.0,50.9

GroupB,0.75,0.2700000000000001,70.89999999999999,57.31225296442688,84.81781376518218,15.182186234817813,42.68774703557312,29.099999999999998

GroupB,0.75,0.2800000000000001,52.1,100.0,0.0,100.0,0.0,47.9

GroupB,0.75,0.2900000000000001,51.300000000000004,0.0,100.0,0.0,100.0,48.699999999999996

GroupB,0.75,0.3000000000000001,59.4,87.13692946058092,33.59073359073359,66.40926640926641,12.863070539419086,40.6

GroupB,0.75,0.3100000000000001,47.5,100.0,0.0,100.0,0.0,52.5

GroupB,0.75,0.3200000000000001,59.599999999999994,83.43558282208589,36.79060665362035,63.20939334637965,16.56441717791411,40.400000000000006

GroupB,0.75,0.3300000000000001,72.7,62.55060728744939,82.6086956521739,17.391304347826086,37.449392712550605,27.3

GroupB,0.75,0.34000000000000014,50.6,100.0,0.0,100.0,0.0,49.4

GroupB,0.75,0.35000000000000014,63.0,34.78260869565217,94.69214437367303,5.3078556263269645,65.21739130434783,37.0

GroupB,0.75,0.36000000000000015,72.0,74.30830039525692,69.63562753036437,30.364372469635626,25.691699604743086,28.000000000000004

GroupB,0.75,0.37000000000000016,69.5,44.785276073619634,93.15068493150685,6.8493150684931505,55.21472392638037,30.5

GroupB,0.75,0.38000000000000017,51.300000000000004,100.0,0.0,100.0,0.0,48.699999999999996

GroupB,0.75,0.3900000000000002,73.4,71.7479674796748,75.0,25.0,28.252032520325205,26.6

GroupB,0.75,0.4000000000000002,58.8,95.48133595284872,20.773930753564155,79.22606924643586,4.518664047151278,41.199999999999996

GroupB,0.75,0.4100000000000002,67.30000000000001,39.8422090729783,95.53752535496957,4.462474645030426,60.15779092702169,32.7

GroupB,0.75,0.4200000000000002,70.19999999999999,48.91089108910891,91.91919191919192,8.080808080808081,51.08910891089109,29.799999999999997

GroupB,0.75,0.4300000000000002,71.0,81.95329087048833,61.247637051039696,38.752362948960304,18.046709129511676,28.999999999999996

GroupB,0.75,0.4400000000000002,68.2,87.3015873015873,48.79032258064516,51.20967741935484,12.698412698412698,31.8

GroupB,0.75,0.45000000000000023,51.9,5.544554455445545,99.19191919191918,0.8080808080808081,94.45544554455445,48.1

GroupB,0.75,0.46000000000000024,71.89999999999999,62.6,81.2,18.8,37.4,28.1

GroupB,0.75,0.47000000000000025,51.800000000000004,100.0,0.0,100.0,0.0,48.199999999999996

GroupB,0.75,0.48000000000000026,71.7,56.32183908045977,88.49372384937239,11.506276150627615,43.67816091954023,28.299999999999997

GroupB,0.75,0.49000000000000027,52.800000000000004,98.80478087649402,6.425702811244979,93.57429718875501,1.1952191235059761,47.199999999999996

GroupB,0.75,0.5000000000000002,49.7,100.0,0.1984126984126984,99.8015873015873,0.0,50.3

GroupB,0.75,0.5100000000000002,49.9,4.3478260869565215,96.5587044534413,3.4412955465587043,95.65217391304348,50.1

GroupB,0.75,0.5200000000000002,51.300000000000004,4.330708661417323,99.79674796747967,0.20325203252032523,95.66929133858267,48.699999999999996

GroupB,0.75,0.5300000000000002,70.7,56.89320388349515,85.36082474226804,14.63917525773196,43.10679611650485,29.299999999999997

GroupB,0.75,0.5400000000000003,50.9,5.118110236220472,98.17073170731707,1.8292682926829267,94.88188976377953,49.1

GroupB,0.75,0.5500000000000003,67.7,87.93774319066148,46.2962962962963,53.70370370370371,12.062256809338521,32.300000000000004

GroupB,0.75,0.5600000000000003,65.5,91.27789046653145,40.433925049309664,59.56607495069034,8.72210953346856,34.5

GroupB,0.75,0.5700000000000003,67.5,91.06796116504854,42.47422680412371,57.52577319587628,8.932038834951456,32.5

GroupB,0.75,0.5800000000000003,65.10000000000001,92.09486166007905,37.449392712550605,62.55060728744939,7.905138339920949,34.9

GroupB,0.75,0.5900000000000003,64.2,88.13905930470347,41.291585127201564,58.70841487279843,11.860940695296524,35.8

GroupB,0.75,0.6000000000000003,68.10000000000001,47.674418604651166,89.87603305785123,10.12396694214876,52.32558139534884,31.900000000000002

GroupB,0.75,0.6100000000000003,61.9,93.62139917695474,31.906614785992215,68.09338521400778,6.378600823045268,38.1

GroupB,0.75,0.6200000000000003,52.6,5.443548387096774,99.0079365079365,0.992063492063492,94.55645161290323,47.4

GroupB,0.75,0.6300000000000003,67.60000000000001,87.374749498998,47.90419161676647,52.09580838323353,12.625250501002002,32.4

GroupB,0.75,0.6400000000000003,67.4,40.4040404040404,93.86138613861385,6.138613861386139,59.59595959595959,32.6

GroupB,0.75,0.6500000000000004,53.5,96.78068410462777,10.73558648111332,89.26441351888667,3.2193158953722336,46.5

GroupB,0.75,0.6600000000000004,50.3,100.0,0.0,100.0,0.0,49.7

GroupB,0.75,0.6700000000000004,72.1,83.991683991684,61.078998073217726,38.921001926782274,16.008316008316008,27.900000000000002

GroupB,0.75,0.6800000000000004,73.9,69.32515337423312,78.27788649706457,21.722113502935418,30.67484662576687,26.1

GroupB,0.75,0.6900000000000004,50.2,99.79919678714859,0.9960159362549801,99.00398406374502,0.2008032128514056,49.8

GroupB,0.75,0.7000000000000004,52.900000000000006,1.6736401673640167,99.80842911877394,0.19157088122605362,98.32635983263597,47.099999999999994

GroupB,0.75,0.7100000000000004,52.300000000000004,5.588822355289421,99.19839679358718,0.8016032064128256,94.41117764471058,47.699999999999996

GroupB,0.75,0.7200000000000004,53.6,7.258064516129033,99.20634920634922,0.7936507936507936,92.74193548387096,46.400000000000006

GroupB,0.75,0.7300000000000004,67.0,88.65384615384615,43.541666666666664,56.458333333333336,11.346153846153847,33.0

GroupB,0.75,0.7400000000000004,51.6,98.61111111111111,3.8306451612903225,96.16935483870968,1.3888888888888888,48.4

GroupB,0.75,0.7500000000000004,71.3,83.46613545816733,59.036144578313255,40.963855421686745,16.533864541832667,28.7

GroupB,0.75,0.7600000000000005,73.6,81.91056910569105,65.5511811023622,34.44881889763779,18.089430894308943,26.400000000000002

GroupB,0.75,0.7700000000000005,72.89999999999999,69.08396946564885,77.10084033613445,22.899159663865547,30.916030534351147,27.1

GroupB,0.75,0.7800000000000005,59.0,96.86847599164928,24.184261036468328,75.81573896353166,3.1315240083507305,41.0

GroupB,0.75,0.7900000000000005,64.5,91.64969450101833,38.31041257367387,61.68958742632613,8.350305498981669,35.5

GroupB,0.75,0.8000000000000005,56.699999999999996,12.190082644628099,98.44961240310077,1.550387596899225,87.80991735537191,43.3

GroupB,0.75,0.8100000000000005,72.7,59.1919191919192,85.94059405940594,14.059405940594061,40.80808080808081,27.3

GroupB,0.75,0.8200000000000005,72.5,84.78260869565217,59.91902834008097,40.08097165991903,15.217391304347828,27.500000000000004

GroupB,0.75,0.8300000000000005,55.7,12.17564870259481,99.39879759519037,0.6012024048096193,87.82435129740519,44.3

GroupB,0.75,0.8400000000000005,48.6,99.3723849372385,2.10727969348659,97.89272030651341,0.6276150627615062,51.4

GroupB,0.75,0.8500000000000005,63.0,86.69354838709677,39.682539682539684,60.317460317460316,13.306451612903224,37.0

GroupB,0.75,0.8600000000000005,62.0,29.980276134122285,94.9290060851927,5.070993914807302,70.01972386587771,38.0

GroupB,0.75,0.8700000000000006,72.5,81.27490039840637,63.65461847389559,36.34538152610442,18.725099601593627,27.500000000000004

GroupB,0.75,0.8800000000000006,70.39999999999999,87.27634194831015,53.31991951710262,46.68008048289739,12.72365805168986,29.599999999999998

GroupB,0.75,0.8900000000000006,49.7,0.0,100.0,0.0,100.0,50.3

GroupB,0.75,0.9000000000000006,70.0,48.4472049689441,90.13539651837525,9.864603481624759,51.5527950310559,30.0

GroupB,0.75,0.9100000000000006,54.400000000000006,12.549019607843137,97.95918367346938,2.0408163265306123,87.45098039215686,45.6

GroupB,0.75,0.9200000000000006,50.6,3.149606299212598,99.59349593495935,0.40650406504065045,96.8503937007874,49.4

